0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:25:08 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:25:11 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:25:14 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:25:14 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:29 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:29 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:29 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:31 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:31 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:31 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:32 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:32 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:32 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:33 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:34 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29446
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:34 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:34 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:48 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:48 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:48 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:49 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:49 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:49 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:50 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:55 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:55 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:55 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:55 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:26:56 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:09 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:09 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:09 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:10 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:11 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:11 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:11 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 29419
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:11 -0800] "GET /Reservation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:11 -0800] "GET /Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:14 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:22 -0800] "POST /Reservation/rest/search/,seattle HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:22 -0800] "GET /Reservation/searchresults.jsp HTTP/1.1" 200 3253
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:27:23 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [10/Dec/2014:16:29:18 -0800] "GET /Reservation/search.jsp HTTP/1.1" 200 4162
